sgRNA	Gene	CXCR4minus_Rep1	CXCR4minus_Rep2	CXCR4minus_Rep3	CXCR4plus_Rep1	CXCR4plus_Rpe2	CXCR4plus_Rpe3
2bc21324.1_AAC_1.6	2bc21324.1_AAC_1	510	739	684	960	829	445
2bc6873_AAC_5.6	2bc6873_AAC_5	1595	1369	1511	2359	2234	1285
2bc11228.0_AAC_6.8	2bc11228.0_AAC_6	1545	1892	1254	1322	1512	1451
2bc35571_GAC_2.5	2bc35571_GAC_2	1298	728	885	1608	1320	950
2bc21825_AAC_1.7	2bc21825_AAC_1	958	1419	958	1442	1260	1038
2bc16294_GAC_1.4	2bc16294_GAC_1	819	870	699	848	675	556
2bc20119_GAC_3.6	2bc20119_GAC_3	1063	1228	924	1645	1371	793
NT-820	NonTargetingControlGuideForHuman-820	1138	919	959	1080	969	928
2bc29518_AAC_5.6	2bc29518_AAC_5	654	2092	644	987	1057	1006
2bc7169.1_GAC_10.6	2bc7169.1_GAC_10	925	1384	902	905	613	566
2bc13338_GAC_1.4	2bc13338_GAC_1	1053	1999	1437	1530	1100	1062
2bc18102_GAC_4.7	2bc18102_GAC_4	1808	2689	1585	2127	1668	2238
2bc8086_GAC_1.6	2bc8086_GAC_1	741	911	610	546	801	831
KRAS-3	KRAS	611	874	557	945	627	539
NT-844	NonTargetingControlGuideForHuman-844	1025	787	717	1350	1046	682
2bc22823_AAC_1.7	2bc22823_AAC_1	687	588	1194	1555	752	1239
NT-75	NonTargetingControlGuideForHuman-75	1316	1822	1531	1836	1269	1286
2bc1823_AAC_8.4	2bc1823_AAC_8	508	1225	973	806	909	983
2bc24099_AAC_7.8	2bc24099_AAC_7	990	1261	581	871	809	569
2bc12340_GAC_5.5	2bc12340_GAC_5	803	883	1179	1113	759	1140
2bc26251_AAC_1.7	2bc26251_AAC_1	1288	1105	948	1237	1476	1285
2bc5807_GAC_2.8	2bc5807_GAC_2	1640	1843	1685	1647	1764	1632
2bc21815.0_AAC_2.5	2bc21815.0_AAC_2	1164	831	1857	1368	1623	1418
NT-866	NonTargetingControlGuideForHuman-866	936	814	529	1000	1138	529
2bc1729_GAC_1.7	2bc1729_GAC_1	1347	1488	916	1364	1549	1020
NT-703	NonTargetingControlGuideForHuman-703	609	1313	627	660	703	586
2bc11695_AAC_2.8	2bc11695_AAC_2	635	950	1094	705	656	843
2bc23415_GAC_3.8	2bc23415_GAC_3	1320	2025	1176	1800	1710	1171
2bc35562_GAC_1.5	2bc35562_GAC_1	331	489	150	263	458	278
2bc28920_AAC_1.8	2bc28920_AAC_1	893	1093	1071	1233	953	792
2bc25747_AAC_4.7	2bc25747_AAC_4	2394	2429	2489	3491	2734	2840
2bc12456_GAC_2.4	2bc12456_GAC_2	1378	2069	1362	2080	1689	1338
NT-486	NonTargetingControlGuideForHuman-486	859	1156	777	906	897	756
2bc13568_GAC_1.7	2bc13568_GAC_1	2838	3105	2438	3545	3704	2679
2bc9555_GAC_2.8	2bc9555_GAC_2	2744	3346	1419	3056	2872	2009
2bc4442_AAC_4.8	2bc4442_AAC_4	774	682	609	1158	838	456
2bc4048_GAC_2.7	2bc4048_GAC_2	1120	631	657	861	694	689
2bc17676_GAC_2.8	2bc17676_GAC_2	605	378	665	594	471	518
NT-980	NonTargetingControlGuideForHuman-980	1262	2463	1501	2164	1547	989
2bc12338_GAC_1.7	2bc12338_GAC_1	910	1057	376	1225	964	597
2bc7487_AAC_1.4	2bc7487_AAC_1	1341	1922	959	1890	1770	1257
NT-504	NonTargetingControlGuideForHuman-504	1570	3009	1710	2342	1990	1471
2bc9555_GAC_2.7	2bc9555_GAC_2	1528	1579	804	2314	1976	1221
2bc2336_GAC_8.8	2bc2336_GAC_8	1231	763	676	1013	843	939
2bc38046.1_GAC_5.8	2bc38046.1_GAC_5	580	1014	754	1522	1301	1561
2bc11083_GAC_13.8	2bc11083_GAC_13	529	492	786	706	487	925
2bc757_GAC_14.8	2bc757_GAC_14	2865	4382	2465	4192	3464	3180
