sgRNA	Gene	CXCR4minus_Rep1	CXCR4minus_Rep2	CXCR4minus_Rep3	CXCR4plus_Rep1	CXCR4plus_Rpe2	CXCR4plus_Rpe3
2bc21324.1_AAC_1.6	2bc21324.1_AAC_1	606.3649219714634	633.4234688470073	732.1788790341978	839.6157272360799	806.8623021022981	449.9815512364863
2bc6873_AAC_5.6	2bc6873_AAC_5	1896.3765696950672	1173.4191188789619	1617.4302430126797	2063.180729739492	2174.343043301006	1299.3849288514268
2bc11228.0_AAC_6.8	2bc11228.0_AAC_6	1836.9290283253158	1621.7012220007275	1342.3279448960293	1156.2208243813518	1471.6234026280758	1467.2432153800937
2bc35571_GAC_2.5	2bc35571_GAC_2	1543.2581739587442	623.9949733702588	947.3367075223174	1406.3563431204338	1284.7505895959391	960.6347723026113
2bc21825_AAC_1.7	2bc21825_AAC_1	1139.0148926444353	1216.2759165005457	1025.478605430938	1261.1727902858618	1226.3528355233966	1049.619888052748
2bc16294_GAC_1.4	2bc16294_GAC_1	973.7507276365267	745.7082786155565	748.2354333989829	741.6605590585373	656.9747333161052	562.2241404213178
2bc20119_GAC_3.6	2bc20119_GAC_3	1263.854729520913	1052.5629495860958	989.0837488707585	1438.7165326076577	1334.3886805576005	801.8772362483903
NT-820	NonTargetingControlGuideForHuman-820	1353.0260415755401	787.7079402847086	1026.5490423885904	944.5676931405899	943.1237282715645	938.3884933650771
2bc29518_AAC_5.6	2bc29518_AAC_5	777.5738411163472	1793.1284124870624	689.3614007281044	863.2299195645946	1028.7737675779604	1017.2616641436073
2bc7169.1_GAC_10.6	2bc7169.1_GAC_10	1099.7795153403995	1186.276158165437	965.5341358024071	791.5127428631795	596.6303874411445	572.3360853929242
2bc13338_GAC_1.4	2bc13338_GAC_1	1251.9652212469628	1713.4147689109166	1538.217908146407	1338.1375652825022	1070.6254913299495	1073.8885559846033
2bc18102_GAC_4.7	2bc18102_GAC_4	2149.623095930208	2304.838576088772	1696.6425778789526	1860.2735956574395	1623.4575632166868	2263.0532846455203
2bc8086_GAC_1.6	2bc8086_GAC_1	881.0125630997146	780.8508526652552	652.966544167925	477.5314448655204	779.610016868445	840.3026271404947
KRAS-3	KRAS	726.4489555383611	749.1368224252832	596.2333854123511	826.4967314980162	610.2565300580711	545.0338339695868
NT-844	NonTargetingControlGuideForHuman-844	1218.6745980799021	674.5659945637276	767.5032986367249	1180.7096164257373	1018.067512664661	689.6346470635589
2bc22823_AAC_1.7	2bc22823_AAC_1	816.8092184203832	503.9959400298244	1278.1017274368892	1360.0025581792752	731.9185177092018	1252.8699819820372
NT-75	NonTargetingControlGuideForHuman-75	1564.6592888518549	1561.7017053305103	1638.8389821657265	1605.765078339003	1235.112498634278	1300.3961233485875
2bc1823_AAC_8.4	2bc1823_AAC_8	603.9870203166735	1049.991541728801	1041.535159795723	704.9273709919587	884.7259741990217	994.0041907089126
2bc24099_AAC_7.8	2bc24099_AAC_7	1177.0613191210762	1080.848436016341	621.9238723960073	761.7763525235683	787.3963840781173	575.3696688844061
2bc12340_GAC_5.5	2bc12340_GAC_5	954.7275143982063	756.8510459971683	1262.0451730721043	973.4294837643301	738.7315890176651	1152.7617267631335
2bc26251_AAC_1.7	2bc26251_AAC_1	1531.368665684794	947.1352274369999	1014.7742358544145	1081.8798485323239	1436.58475018455	1299.3849288514268
2bc5807_GAC_2.8	2bc5807_GAC_2	1949.8793569278434	1579.7015603315756	1803.6862736441863	1440.4657320393997	1716.893969732755	1650.26941936617
2bc21815.0_AAC_2.5	2bc21815.0_AAC_2	1383.9387630878107	712.2799764707213	1987.801430360388	1196.452411311414	1579.6592476622798	1433.8737969737924
NT-866	NonTargetingControlGuideForHuman-866	1112.8579744417448	697.7086652793828	566.2611505980858	874.5997158709166	1107.6107355758932	534.9218889979804
2bc1729_GAC_1.7	2bc1729_GAC_1	1601.5167645011006	1275.4182972183312	980.5202532095398	1192.9540124479302	1507.6353509728106	1031.4183871038563
