sgRNA	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
2bc2925_GAC_2.7	2bc2925_GAC_2	642.03/1235.1/257.98	1769.3/3189.5/721.99	642.03	1769.3	1.461	2.4963e+05	30113	6.4961	1	4.1217e-11	8.2433e-11	7.4825e-07	True
2bc14505_GAC_6.7	2bc14505_GAC_6	3590.6/3978/1921.4	1042.5/1366.5/976.81	3590.6	1042.5	-1.7832	1.4681e+06	1.9155e+05	5.8221	2.9055e-09	1	5.8109e-09	2.6373e-05	False
2bc1788_GAC_5.5	2bc1788_GAC_5	263.95/470.57/1088.6	1251.6/1237.1/1117.4	470.57	1237.1	1.3925	2.1235e+05	21565	5.2195	1	8.9742e-08	1.7948e-07	0.00054306	True
2bc32159_GAC_3.8	2bc32159_GAC_3	114.14/72.857/488.12	445.17/529.47/250.78	114.14	445.17	1.9542	70783	4706.5	4.8252	1	7.345e-07	1.469e-06	0.0033335	True
2bc14505_GAC_6.8	2bc14505_GAC_6	3632.2/2454/1568.2	1296.2/756.25/568.29	2454	756.25	-1.6969	1.0865e+06	1.2723e+05	4.7596	9.7005e-07	1	1.9401e-06	0.0035221	False
2bc14505_GAC_6.6	2bc14505_GAC_6	2902.2/2686.3/1808	1096.7/1216.6/1117.4	2686.3	1117.4	-1.2647	4.0902e+05	1.4022e+05	4.1897	1.3966e-05	0.99999	2.7931e-05	0.037457	False
NT-409	NonTargetingControlGuideForHuman-409	121.27/94.285/176.62	418.06/90.517/513.69	121.27	418.06	1.777	1895.9	5023.3	4.1874	0.99999	1.4749e-05	2.9498e-05	0.037457	True
2bc19617_GAC_2.4	2bc19617_GAC_2	718.13/680.57/667.95	1420.3/1685.7/914.12	680.57	1420.3	1.0603	784.94	32060	4.1317	0.99998	1.8009e-05	3.6018e-05	0.037457	True
2bc28743_AAC_1.5	2bc28743_AAC_1	180.72/208.28/421.75	306.98/641.4/598.63	208.28	598.63	1.5186	23164	8982.2	4.1187	0.99998	1.9325e-05	3.865e-05	0.037457	True
NT-548	NonTargetingControlGuideForHuman-548	914.3/965.99/1453.7	1520.9/1852.2/2132.6	965.99	1852.2	0.93843	1.2024e+05	46712	4.1003	0.99998	2.0633e-05	4.1266e-05	0.037457	True
2bc30905.0_GAC_7.6	2bc30905.0_GAC_7	485.09/322.28/813.53	615.72/1185.5/1086	485.09	1086	1.1611	67190	22281	4.0258	0.99997	2.8403e-05	5.6805e-05	0.046875	True
